text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"after taking for about 1 yr, i noticed muscle pain and weakness in both arms on and off.","i started to take 20 mg lipitor in august 2006, after 6 months, i reduced to take 10 mg, and after another 6 months, i reduced the lipitor intake to 5 mg.",i had muscle cramps and muscle pain.,weakness in both arms,weakness of limbs,weak legs,weakness of limbs,muscle pain,myalgia
can't even enjoy this banana right now because of fuckin vyvanse what is life,taste disturbance,i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,can't even enjoy this banana,taste disturbance,can't even enjoy this banana,taste disturbance,over think,racing thoughts
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",pain ovarian,"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",pain in the ovaries (menopausal for 20 years),pain ovarian,pain in the ovaries (menopausal for 20 years),pain ovarian,dry mouth,dry mouth
my breath smells awful (thanks vyvanse) anyone have gum,breath odor,you guys i was sucking on this lozenge thats supposed to numb sore throats and now i cant feel my mouth,breath smells,breath odor,breath smells,breath odor,cant feel my mouth,numbness oral
i have done very well with lipitor for the last 2 1/2 years.,severe cramps in toes.,i have been on lipitor for approximately two and a half years.,fingers and toes were tingling,pins and needles,tingling in toes and feet,pins and needles,sleepless nites,insomnia
stopped because of high cpk.,"if you are having muscle aches and pains, weakness, exercise intolerance, neuropathy, etc etc, please stop taking this drug.",elevated cpk in the 250 range.,weak all the time,asthenia,weakness,asthenia,cpk elevated,raised serum creatinine
"muscle pain and weakness, headaches, sleep disturbances.",extreme muscle problems and joint pain.,"muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",problems with various muscles,myopathy,extreme muscle problems,myopathy,joint pain,arthralgia
pain in all my muscles and joints and bottom of feet.,muscle pain/inability to walk with left foot pain.,chronic pain in all my joints and muscles.,pain in bottom of feet,foot pain,inability to walk with left foot pain,foot pain,thighs sore,pain in thigh
initially noticed twitching in thighs thought because im a rn it was just in my mind 5 wks into pain in ankle to point i couldnt walk went to podiatrist who ive seen for plantar fascitits and was told bones in foot collapsing mechanical problem not lipitor made orthotics put on nsaid no reief got orthotics and now on medrol dose pack having mri tommarrow will never take again.,"joint pain, severe muscle pain - especially in lower calfs of both legs.",developed severn calf cramps after a couple of weeks on lipitor where i could bearly walk and after talking to a friend he told me he was prescribed lipitor and had developed leg cramps and his doctor switched drugs.,couldnt walk,walking difficulty,hard time walking,walking difficulty,right knee swelled,swelling of knees
"heavy legs, muscle aches, confusion, not able to remember things like whether i had done something or where i had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.","@oscli you want bad withdrawl, effexor had that..evil stuff for me...never again. i strongly believe it caused some memory damage for me. :(","headaches,body aches,joint stiffness,bloating,excessive gas,cramping,irritability.",not able to remember things like whether i had done something or where i had placed something,memory impairment,memory damage,memory impairment,headaches,headache
"i had an extreme reaction - tunnel vision, vertigo, tingling and numbness (hands, legs, face), complete weakness in the right side of my body including loss of strength, and what i term as complete body flushes (like a hot flash without the hot).",dosage was increased from 10 to 20 mg and the tingling and numbness in my feet and shins escalated.,"extreme muscle spazms in my lower back, eye sight changes, fatigue and weakness.",numbness legs,numbness of lower extremities,numbness in my shins,numbness of lower extremities,extreme muscle spazms in my lower back,back muscle spasms
"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.","persistent triedness,loss of concentration,uncharacteristical moodiness,short term memory loss,light headedness(in a daze type of thing)unwarranted depression and the occasional thoughts of suicide,tightness and annoying stimuly type of feeling in the neck near the base of the skull,husky vocal chords.","iritated eyes, extremely painful inflammed joints(too painful to walk) muscle cramps, numbness and tingling in feet arm and legs-muscle spasams in face and neck.",blurred vison,blurred vision,foggy vision,blurred vision,painful to walk,pain aggravated
@mtv when are you going to do true life: i am addicted to vyvanse?,holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,"rt @bipolarblogger: since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie?",addicted,addiction,addiction,addiction,prolactin levels,prolactin levels increased
"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma","shoulder and neck muscle pain, tender joints, wrist pain, fogginess, depression when not getting enough rest, possible insomnia.",my seroquel this morning got me lethargic,awake,insomnia,insomnia,insomnia,lethargic,lethargic
"hair thinning, muscle aches, memory loss, tiredness, moody.",have been on lipitor over 5 yrs.,"extreme tiredness, dizziness, memory loss, moody.",memory loss,amnesia,memory loss,amnesia,moody,mood variable
life alert life alert i am burping up fluoxetine powder i think i might die,"stomach pain, gas, burping, diarhea.","@candidlykelly some day i should try fluoxetine again. it made me all suicidal the first time, but i was 18",burping,burping,burping,burping,suicidal,suicidal ideation
ok brain &amp; body. we need a chat about oversleeping and overeating since taking olanzapine again #tuboficecream #timetochange #junkfood #gym,hard to awaken,"loss of muscel strength,vertigo caused by cramping neck muscels,loss of sexual drive,hair,short term memory,zombie like doped up state,halucinations during day,unable to walk for 2 weeks,get out of bed et al reduced mental capabiities,depression excessive sleep requirements and more that i can not remember.",oversleeping,hard to awaken,oversleeping,hard to awaken,halucinations during day,hallucination
i have been taking this medication for more than 4 years for cholesterol.,severe foot pain.,"i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",terrible pain in my feet,foot pain,severe foot pain,foot pain,depressed,depression
"@upasbook great read as always. i was on cymbalta for 5 days. cold turkey had sweats, migraine, tremors while on &amp; 3 days after.",i have been recently diagnosed with possible early parkinson's symptoms.,"so, i lasted 16 days on seroquel. i couldn't handle the awful side effects. constantly dizzy and lightheadeded &amp; a myriad of other bad stuff",tremors,tremor,tremors in right hand,tremor,lightheadeded ,lightheadedness
"@tweetnomdeplume ssris were great for me for ages, not working as well now. thus seroquel.  i?m also on clonazepam, makes me sleepy too.",after only 2 1/2 weeks on lipitor i could feel that something was not right in my body.,@cheer_bear13 am on 300mg quetiapine. mainly tiredness it causes with me.,sleepy,sleepiness,wanted to sleep all of the time,sleepiness,tiredness,tiredness
"always tired, and possible blood clots.","i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.","terrible nightmares and insomnia, leg cramps, fatigue.",tired,tiredness,tiredness,tiredness,fatigue,fatigue
i have had several boughts of severe muscle cramps that lead to dehydration.,"i experienced lightheadedness, depression, short term memory problems.","i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",severe muscle cramps,muscle cramp,severe cramps,muscle cramp,depressed,depression
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",my mother started taking 40 mg. of lipitor 3 months ago.,"i've been on it for 18 months and only after 15 months the muscle pain started - particularly in the glutes, calves and thighs but also in the back and neck.",forgetfulnes and confussion,confusion,very confused,confusion,mild panic attack,panic attack
i am the advocate for my father who took this drug for 8 months before he passed from an aggressive form of brain cancer in 2005.,brain neoplasm malignant,my doctor prescribed 10mg of lipitor 3 years ago.,brain cancer,brain neoplasm malignant,brain cancer,brain neoplasm malignant,headaches,headache
"zombie like tired depressed state,severe pain in calves total loss of support unable to walk,vertigo like attack, blured vision, no sex drive,decrease in balance.","@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today.","extreme disabling vertigo,loss of support in all muscels in particular calf and leg,excruciatig pain if try to use muscels confined to bed for 2 weeks unable to leave,loss of sex drive,hair,memory loss,extreme fatigue no mater how much i slept,partial tempoary loss of sight one eye,hardest on legs,calfs,and to lesser extent sholders.",unable to walk,unable to walk,crippled,unable to walk,partial tempoary loss of sight one eye,"low vision, one eye"
"excruciating pain in shoulders and neck, memory loss, felt just strange.","muscle pain,esp calve muscles, knee pain, neck pain, dizziness? vagueness, dry eyes.","extreme pain in shoulders, loss of memory.",excruciating pain in neck,neck pain,neck pain,neck pain,extreme pain in shoulders,pain
day 3 without #venlafaxine. worst drug ever to withdraw from? any support much appreciated!,venlafaxine withdrawal is horrific,"@mondaysmomma it's ok, i guess it's just a case of trial and error with antidepressants. coming off venlafaxine has been so nasty :(",withdraw,withdrawal symptom,withdrawal,withdrawal symptom,nasty,feeling unwell
"at the beginning i did not had any side effects, until a few months after start taking lipitor i experienced pain in the lower legs, sometimes i could not even walk in the mornings my muscles were very stiff.","i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just.",i had severe muscle pain and weakness after taking only a few doses of lipitor.,severe pain in the upper back,pain,pain,pain,legs were so weak and tired,weakness of limbs
stomach upset and notable dehydration.,"slight stomach upset; blood in bowel movements, bloating.","stomach pain, gas, burping, diarhea.",stomach upset,upset stomach,stomach upset,upset stomach,burping,burping
"nightmares, knee pain.",i had been taking lipitor 10mg for 2 years.,"terrible nightmares and insomnia, leg cramps, fatigue.",nightmares,nightmares,nightmares,nightmares,fatigue,fatigue
muscle pain.,two days after starting the lipitor i felt like my insides were vibrating.,extreme muscle pain.,severe joint pain in the knees,pain,constant pain,pain,extreme muscle pain,myalgia
"did not help to lower my cholesterol, 55 put on 60 pounds.","extremely dry mouth, severe joint aches, muscle cramps in lower legs, sever swelling of feet, hands and ankles, difficulty breathing, tired, memory loss, mild depression, diminished eyesight.",i started taking liptor as cholesterol was 494.,difficulty breathing,difficulty breathing,difficulty breathing,difficulty breathing,fatigued,fatigue
i'm not sure if excedrin is the right way for me to go for my tmj headaches. vyvanse + caffeine is pretty rough. ideas?,blurr vision.,"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression",headaches,headache,head aches,headache,withdrawal,withdrawal syndrome
"severe joint pains, needed help getting out of bed and off a chair, whereas had been previously active, neck pain up to the back of the head, right knee protruding out of joint, whereas left knee remained normal, wrist and arm joints sore, red dots on skin all over body, liver function tests normal, however had all of other side effects.","general fatigue, aches and pains for years.","developed higher levels of muscular aches and pains including joint discomfort all over the body with a stronger concentration in legs, ankles and feet also a heaviness.",wrist joints sore,wrist pain,wrist pain,wrist pain,upper abdominal discomfort,epigastric discomfort
"weakness, cramping, muscle spasms.",slurred speech,"muscle pain, muscle twitching, fatigue,.",slurred speech,slurred speech,slurred speech,slurred speech,muscle twitching,muscle twitch
"muscle pain, depression, dizziness (fainting spells), hair loss, panic attacks.",scared of my #humira. keep feeling like i'm having a heart attack or panic attack. anyone else have these problems? #crohns #ra #help,"muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",panic attacks,panic attack,panic attack,panic attack,insomnia,insomnia
"insommnia, loss of dreaming, inability to visualize; muscle pain, weakness, atrophy; tendinitis, tendinopathy, tendon contracture; miniscus damage; working memory and short-term memory loss, language and learning ability loss including spoken and written aphasia and inability to read; gall bladder disease, pancreatitis, acid reflux; inability to walk.",severe pain in right heel and related tendons.,"kidney failure, difficulty swallowing, persistent pain in calf and knee, short term memory loss, peripheral neuropathy, constipation, sleep disturbance, mood change, rage.",inability to walk,unable to walk,inablity to walk,unable to walk,leg pain,pain of lower extremities
"wow, so im not crazy after all!","very very tired, severe left knee pain, feet hurt.","oddly, only positive.",feet hurt,foot pain,feet hurt,foot pain,gas,flatulence
abdominal distention - feel full.,pain in shoulder and arms and hands.,- chest muscle pains.,back pain in the am,pain in upper extremities,pain in my arms,pain in upper extremities,headache,headache
"sudden knee pain 2 week into it, horriable crippeling pain hit both knees at same moment, progressed to odd painful, lumpy swelling on both feet in same place on each and a sudden horriable grabbing pain in one ankle, gas, indigestion, acid reflux, no energy, confusion, stumbeling, vertigo, memory loss, frequent sudden urges to go pee that came out with a force that sprayed everywhere.","i took the drug only once, at about 9:00 p.m.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",acid reflux,acid reflux (oesophageal),acid reflux-type symptoms,acid reflux (oesophageal),can't walk,unable to walk
i had been taking lipitor 10mg for 2 years.,i was on celebrex till the scare of death took me off.,i have been taking 10mg of lipitor for 3 months.,high blood pressure,blood pressure high,high blood press,blood pressure high,severe pain in leg,pain of lower extremities
"leg pain, loss of memory, loss of libido and lack of sleep.",i have been taking this medication for more than 4 years for cholesterol.,"leg pains, loss of memory, e.d. and sleep loss.",leg pain,pain of lower extremities,sore legs,pain of lower extremities,loss of memory,amnesia
ready for bed but vyvanse is saying no #forciblynocturnal,"tingling extremities, bruising, insomnia.",it's 6 am and still no sleep fuck you vyvanse,ready for bed but vyvanse is saying no,insomnia,insomnia,insomnia,no sleep,sleep loss
i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,lack of energy,loss of energy,energy loss,loss of energy,stomach pain,stomach ache
severe pain in both calfs and thighs.,severe muscle pain.,"joint pain, severe muscle pain - especially in lower calfs of both legs.",severe pain in both thighs,pain,severe muscle pain,pain,hard time walking,walking difficulty
"i had diarrhea, severe abdominal pain which was constant for 4 hours straight, vomiting, trembling, dizziness, nausea.","headaches, pain in throat , tingling in side of face, severe bouts of anxiety and depression-loss of reason to live!",unbearable stomach cramps on the fifth day -- vomiting for about 7 hours straight until i went to the emergency room.,nausea,nausea,nausea,nausea,stomach cramps,learning disorder
"i was a vibrant healthy woman until easter saturday, 2006.","depression, general malaise, nausea, taste loss, insomnia, hair loss, bronchitis and/or flu 3 times during winter and 1-2 times during summer, abdominal pain, muscle spasmns in legs and left arm, back pain.",for as long as i could remember i've always had perfect cholesterol (from a percentage perspective anyway).,feet felt like led,sensation of heaviness,felt like i had lead in my legs,sensation of heaviness,was incredibly week,asthenia
"pain in my legs,loss of sense of smell,increase appetite,headaches,extreme fatigued,tingling in my arms and legs.",paraesthesia lower limb,"i have headache, muscle ache, diarrhea, indigestion, abdominal pain, back pain, eyesight has changed sinus problems, joint pain, leg cramps.",tingling in my legs,paraesthesia lower limb,tingling in my legs,paraesthesia lower limb,muscle ache,myalgia
severe cramps in toes.,"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",severe foot pain.,swollen feet,swelling of feet,swelling feet,swelling of feet,severe foot pain,foot pain
"muscle pain,esp calve muscles, knee pain, neck pain, dizziness? vagueness, dry eyes.",my prostate oncologist prescribed 10 mg per day for high ldl.,"rapid shallow breathing, fatigue, disorientation, slightly blurred vision, erectile disfunction, muscle pain.",neck pain,neck pain,pain in neck,neck pain,muscle pain,myalgia
after taking lipitor for a number of years my muscles and joints in my legs and shoulders gradually became very painful.,"jaundice,right upper quadrant abdominal pain,very elevated liver function tests,itching of the skin,weakness,loss of appetite.",after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,painful muscles,myalgia,muscle aches,myalgia,stomach pain,stomach ache
@courage_cub i'm feeling weirdly antsy lately and i'm positive it's due to the prozac and i'm a bit worried where that could lead me,restless,@skernandez because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.,antsy,restless,antsy,restless,irrational,irrational
"feeling in a fog, memory problems; muscle weakness in mouth area causing speech difficulties like pronunciation, and chewing/swallowing difficulties like biting my tongue and inside my cheek; muscle weakness in my right hand causing me to lose grip and drop things; balance problems when turning around or standing to walking movements.",chewing difficulty,"weak legs, lack of concentration, slurred speach, loss of balance and loss of short term memory.",chewing/swallowing difficulties like biting my tongue and inside my cheek,chewing difficulty,chewing/swallowing difficulties like biting my tongue and inside my cheek,chewing difficulty,weak legs,weakness of limbs
"fatigue, depression, hand and feet joint pains so very severe, dysfunctional bowel, muscle aches, no energy.","been taking lipitor for 15 years ,have experienced all manner of side effects from irregullar heartbeat ,sever fatigue and now have a fatty liver !!!!","muscle weakness, extreme fatigue, can't sleep good, muscle aches and pain.",fatigue,fatigue,sever fatigue,fatigue,muscle aches and pain,myalgia
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.","i started to take 20 mg lipitor in august 2006, after 6 months, i reduced to take 10 mg, and after another 6 months, i reduced the lipitor intake to 5 mg.","extremely dry mouth, severe joint aches, muscle cramps in lower legs, sever swelling of feet, hands and ankles, difficulty breathing, tired, memory loss, mild depression, diminished eyesight.",balance problems,memory impairment,lost some memory,memory impairment,difficulty breathing,difficulty breathing
"@crohns_twins that sucks. humira made me so sick. remicade helped a but, but then seizures put that out. now waiting, just prednisone now.",whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to",sick,feeling sick,sick,feeling sick,feel like shit,feeling unwell
i am 43 years old and have been taking lipitor for a year and a half.,extreme tummy bloating.,i have been on lipitor for approximately two and a half years.,aching in my fingers,pain in fingers,mood swings,pain in fingers,sleepless nites,insomnia
pain along front and outer side of shins.,"i had an extreme reaction - tunnel vision, vertigo, tingling and numbness (hands, legs, face), complete weakness in the right side of my body including loss of strength, and what i term as complete body flushes (like a hot flash without the hot).","leg, arm, shoulder, and foot pain.",weird toe tingling,pins and needles,tingling face,pins and needles,difficulty thinking,difficulty thinking
i have been on this medicine for about 8 years.,"muscle pain (severe neck, shoulder, back pain. leg pain) has become increasingly pronounced in the past few months (have taken lipitor for 3+ years).",i have been taking this medication for more than 4 years for cholesterol.,muscle pain,myalgia,muscle pain,myalgia,loss of balance,balance difficulty
very blurred vision and lower back pain.,"weakness in both legs, hip pain, knee pain, feet and ankle pain.","blured vision, chest pain, sore muscles.",lower back pain,low back pain,lower back pain,low back pain,"changed my personality, from happy to a grouch",personality change
terrible burning/numb sensation in hands & feet.,"memory problems, depression, muscle aches, joint pain, exercise intolerance, transient global amnesia.","very severe pain in arms, knees, hands.",joint pain,arthralgia,joint pain,arthralgia,muscle weakness,muscle weakness
cramping aching muscles in legs and back.,slight muscle soreness in arms and legs.,"muscle tightness, cramping in legs and back.",aching muscles in legs,myalgia of lower extremities,slight muscle soreness in legs,myalgia of lower extremities,felt like i had the flu,influenza like illness
i've been sleeping most of my day away thanks to my humira shot. some days i feel like just giving up. #sick&amp;tired,so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.,@cheer_bear13 am on 300mg quetiapine. mainly tiredness it causes with me.,sleeping,somnolence,just woke up,somnolence,tiredness,tiredness
"75 yo mother-in-law has memory loss, hair loss, muscle spasms in left arm and legs, odd blood sugar pattern, sciatic pain which is not sciatica, periodic back and hip pain, gradual loss of feeling in toes, dizziness, vision problems, extreme tiredness, lack of appetite, and no enthusaism for life.","blurring eyesight, hair loss, painful leg cramps, muscle weakness in my left arm, hard to walk any length of time, my legs and ankles ache so bad, have been unable to lose weight even when on strict diet, very, very tired all the time; pain in almost every muscle, digestive changes, bloating, gas, diarhea.","kidney failure, difficulty swallowing, persistent pain in calf and knee, short term memory loss, peripheral neuropathy, constipation, sleep disturbance, mood change, rage.",extreme tiredness,fatigue,fatigue,fatigue,leg pain,pain of lower extremities
the last two years i have had severe pain in my feet and legs with a definite decrease in muscle strength.,my mother started taking 40 mg. of lipitor 3 months ago.,"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles.",severe pain in my feet,pain,constant pain shoulders,pain,tightening of neck muscles,hypertonia
"serious hands & feet cramping, weakness, painful inflamation of joints/knuckles and significant strength reduction.","within 7 days i had such severe myopathy (muscle pain) and cramping i could not walk, my cpk was elevated to that of a person having a heart attack and my liver enzymes were very elevated.","pain in joints and muscles, including knees, ankles feet wrist shoulders and elbows.",barely walk,walking difficulty,could not walk,walking difficulty,memory loss,amnesia
extreme muscle problems and joint pain.,"muscle pain and weakness, headaches, sleep disturbances.",extreme muscle pain.,extreme muscle problems,myopathy,problems with various muscles,myopathy,extreme muscle pain,myalgia
"i went from a vigorous woman who two years ago spent two weeks walking all over london and paris, whose favorite hobby was hiking, etc , to a fragile, crippled crone who, for a while, was certain i belonged in a wheel chair, due to the effects of this horrible, killer medication after having hip replacement surgery.",haematuria,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",blood began showing up in my urine,haematuria,blood began showing up in my urine,haematuria,acute pain,acute pain
took my 1st pill 5 hours ago & almost immediately experienced sever abdominal cramps.,i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,"after taking my first pill, i quickly experienced extreme uterine cramping.",period cramps,menstrual cramp,major menstrual cramps,menstrual cramp,uterine cramping,uterine spasm
"imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.",swelling & weight increase.,"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",swelling,swelling,swelling,swelling,swelling hands,hand swelling
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",leg pain,"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.",legs,leg pain,legs,leg pain,hips,pain in hip
"persistent triedness,loss of concentration,uncharacteristical moodiness,short term memory loss,light headedness(in a daze type of thing)unwarranted depression and the occasional thoughts of suicide,tightness and annoying stimuly type of feeling in the neck near the base of the skull,husky vocal chords.",cramping and weariness of the leg muscles.,"depression, anxiety, spaced-out feeling, lack of concentration, insomnia.",persisten feeling of tiredness,tired all the time,always tired,tired all the time,insomnia,insomnia
"swollen , burning feet and ankles.",burning foot,"muscle weakness in arms and legs, blurry eyesight, hair loss, but worst of all, burning feet and painful heels.",burning feet,burning foot,burning feet,burning foot,painful heels,pain in heel
"never had any problems walking, after liptor had severe muscle spasms in my legs, thigh area.","muscle cramping, fatigue and depression.",was on lipitor 10 mg per day for about 5 years and experienced chronic and acute back pain which gradually improved but seemed strange to me because i hadn't really done anything to strain my back muscles.,severe muscle spasms in my legs,muscle cramp,muscle cramping,muscle cramp,plantar fasciitis of my left foot,plantar fasciitis
"this drug makes me so agitated--insomnia, hideously increased muscle tension, short tempered, impatient.",took 10mg lipitor for 7 years had soreness of muscles for 4 years.,my increase of quetiapine is making me so tired #sleepy,insomnia,insomnia,sleeplessness,insomnia,tired,tiredness
"jan.15th,2006.","terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.",9/20/05.,lightheadedness,lightheadedness,lightheaded foggy brain (like being in a stupor),lightheadedness,blurred thinking,difficulty thinking
"@fragileannie @meilufay i tried baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain.",pain worsened,"i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",worsening pain,pain worsened,worsening pain,pain worsened,depressed,depression
"i have been taking simvostatin for about 5 years,,since march 2010 i have been experiencing pain in my left leg and foot with exteem pain in my ankle and at times i have had dificultly in walking to the point were on some days i could not walk at all because the pain was so bad also had pain in my left arm as if i had strained it lifting but i havn't been lifting, this is not like me because i am normaly very fit and i love walking.",severe pain in both calfs and thighs.,"after about 4 months of taking lipitor, one day while walking, my left leg, below the knee, experienced intense pain and stiffness.",exteem pain in my ankle,pain,severe pain in both thighs,pain,"left leg, below the knee, experienced stiffness",limbs stiffness
muscle pain.,"toe tinglingling, numbness in toes, feel like i am in a fog most of the day, memory impaired, hair loss ( major symptom for me), low grade headache, vision impaired, calf pain.",severe muscle pain.,numbness in all of my toes,numbness in toes,numbness in toes,numbness in toes,muscle pain,myalgia
"depression, muscle pain in shoulders, hips and feet.","severe back pain muscles pain loss of energy, depression.","muscle cramping, fatigue and depression.",muscle pain in shoulders,myalgia,muscles pain,myalgia,depression,depression
- chest muscle pains.,"taking 10 mg. and experiencing pain in feet and legs, including terrible leg cramps.","fatigue, muscle crammps, bloating, and intense chest pains.",headache,headache,headaches,headache,mood swings,pain in fingers
"in last 6 month, calf of left leg began to burn nothing will stop it.","fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",severe pain in my calf muscles in my legs started about 7 months after taking the drug.,headaches,headache,headaches,headache,severe pain in my calf muscles,pain
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.,"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.",back,back pain,back pain,back pain,hips,pain in hip
tired-weak-pains all over body-groggy-light headed.,"muscle twitching, stiff neck, constant lightheadedness, always worrying about a brain tumor or something.","experiencing fatigue, lightheaded and weakness.",light headed,lightheadedness,lightheadedness,lightheadedness,back pain,backache
51 yr old female.,"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",i am 43 years old and have been taking lipitor for a year and a half.,constant sleepiness,hypersomnia,increase in sleep requirement,hypersomnia,aching in my fingers,pain in fingers
"depression, anxiety, spaced-out feeling, lack of concentration, insomnia.",cramping aching muscles in legs and back.,"depression, insomnia, anxiety, tiredness, decreased eye sight, loss of quality of life.",lack of concentration,concentration ability impaired,unable to concentrate,concentration ability impaired,decreased eye sight,loss of vision
my mother started taking 40 mg. of lipitor 3 months ago.,took liptor for 3 months 2 years ago.,up until 3 weeks ago i was taking lipex another member of the statin family - reduced my cholesterol very satisfactorily.,constant pain shoulders,pain,severe thigh muscle pain (both legs involved),pain,legs felt like they had run a marathon,muscle fatigue
"trouble walking, hard to pick up feet and balance is off at times.",grip strength decreased,"severe edema of lower extremities that got worse when walking/exercising/sitting/standing, vision problems, muscle weakness (lift weights every day but couldn't open a bottle of water), shoulder pain (every morning regardless of sleeping position), numbness on left side, rapid pulse, productive cough, poor coordination while walking (kept bumping into things), light-headedness (hurt to hold my head up or turn my head from side to side and that made driving real difficult), 25% weight gain (due to doctor-recommended eating to relieve light-headedness).",trouble holding on to things,grip strength decreased,trouble holding on to things,grip strength decreased,muscle weakness,muscle weakness
"very sore and achy joints, especially ankles and knees.",severe overall body pain in every joint and muscle from my neck down to my big toes.,"pain in joints and muscles, including knees, ankles feet wrist shoulders and elbows.",foggy,mental dullness,foggy brain,mental dullness,memory loss,amnesia
muscle ache.,severe muscle pain.,muscle aches.,muscle ache,myalgia,muscle pain,myalgia,eye pain,eye pain
@halfabear i had a year on prozac which ruined my creativity too - my memory now is awful - pregabalin does it but it's worth it!!!,i need to stop the vyvanse that shit can fuck with your head,"@oscli you want bad withdrawl, effexor had that..evil stuff for me...never again. i strongly believe it caused some memory damage for me. :(",ruined my creativity,mental impairment,fuck with your head,mental impairment,memory damage,memory impairment
