text,ade,meddra,level
"severe muscle pain in hips, legs and ankles.",severe muscle pain in ankles,pain ankle,LLT
"severe muscle pain in hips, legs and ankles.",severe muscle pain in hips,pain in hip,LLT
"severe muscle pain in hips, legs and ankles.",recks my muscles severly,myopathy,PT
"severe muscle pain in hips, legs and ankles.",severe muscle pain in legs,myalgia,PT
"severe muscle pain in hips, legs and ankles.",severe muscle pain in ankles,pain,PT
big problems with muscle cramps and numbness in my legs progressing to difficulty walking up stairs and swollen feet and ankles.,swollen feet and ankles,swelling of feet,LLT
big problems with muscle cramps and numbness in my legs progressing to difficulty walking up stairs and swollen feet and ankles.,muscle cramps,muscle cramp,LLT
big problems with muscle cramps and numbness in my legs progressing to difficulty walking up stairs and swollen feet and ankles.,numbness,numbness,LLT
big problems with muscle cramps and numbness in my legs progressing to difficulty walking up stairs and swollen feet and ankles.,swollen feet and ankles,swollen ankles,LLT
"general weakness, reduced stamina, tennis elbow in both hands.",weakness,asthenia,PT
"general weakness, reduced stamina, tennis elbow in both hands.",tennis elbow,lateral epicondylitis,LLT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",gas,flatulence,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",diaharrea,diarrhoea,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",mood swings,pain in fingers,LLT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",depression,depression,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",weight gain,weight gain,LLT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",depressed,depression,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",bloating,bloating,LLT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",obsessively focused on morbid,morbid thoughts,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",constipation,constipation,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",anxiety,anxiety,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",aggression,aggression,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",fatigue,fatigue,PT
"severe and uncharacteristic depression, anxiety, aggression, and mood swings.",lonliness,feeling lonely,LLT
spleen cancer and als patient.,muscle weakness,muscle weakness,LLT
tingling all over my body and numbness.,numbness,numbness,LLT
tingling all over my body and numbness.,tingling,pins and needles,LLT
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery.",pain in my arms,pain in upper extremities,LLT
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery.",pain in hands,pain in hand,LLT
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery.",pain in back,backache,LLT
"having been on lipitor for over one year, with a modest reduction in cholesterol levels, i developed a severe reaction following shoulder surgery.",pain in upper legs,pain in thigh,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",diarrhea,diarrhoea,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",vision problems,visual disturbance,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",hives,hives,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",severe pain in hand,hand pain,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",difficulty concentratiing,poor concentration,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",muscle atrophy,muscle atrophy,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",severe pain in hand,pain,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",gas,flatulence,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",blind spot,scotoma,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",memory loss,amnesia,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.","severe pain in left shoulder,",pain,PT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.","severe pain in left shoulder,",shoulder pain,LLT
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",severe pain in arm,pain in upper extremities,LLT
"muscle aches and weakness, nearly bed ridden over it and soon after they took me off i had a high sugar attack and have been on insalin ever since.",muscle aches,myalgia,PT
"muscle aches and weakness, nearly bed ridden over it and soon after they took me off i had a high sugar attack and have been on insalin ever since.",weakness,asthenia,PT
"muscle aches and weakness, nearly bed ridden over it and soon after they took me off i had a high sugar attack and have been on insalin ever since.",high sugar attack,blood sugar increased,LLT
"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain.",pain,pain,PT
"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain.",weakness,asthenia,PT
"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain.",vision problems,visual disturbance,LLT
"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain.",nerve pain,neuralgia,PT
"vision problems, stiff neck symtoms, nerve pain and weakness in forearms from the elbows to the wrists in both arms with pain.",stiff neck,stiff neck,LLT
"lipitor did help lower my cholestrol, but has caused other health problems not listed in the side effects.",pancreas is very swollen,pancreatitis,PT
heel pain goiing into my ankle.,heel pain,pain in heel,LLT
heel pain goiing into my ankle.,heel is hot,burning foot,LLT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",muscle soreness,myalgia,PT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",weight gain,weight gain,LLT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",insomnia,insomnia,PT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",pins and needles,pins and needles,LLT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",depressed,depression,PT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",tiredness,tiredness,LLT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",hand feels like it's not mine,derealisation,PT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",neck pain,neck pain,PT
"i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.",truble remembering,memory impairment,PT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.","muscle aches,",myalgia,PT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",fatigue,fatigue,PT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",slurred speech,slurred speech,LLT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",dry throat/hoarseness,hoarseness,LLT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",balance problems,memory impairment,PT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",cold toes and feet,cold feet,LLT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",memory problems,memory impairment,PT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",cramps,muscle cramp,LLT
"extreme fatigue, muscle aches, cramps, memory problems, balance problems, cold toes and feet (with no circulatory problems) cold hands, dry throat/hoarseness, slurred speech.",cold hands,cold hands,LLT
initially minor muscle pain but thought it was due to my working out.,fluish feeling,influenza like illness,PT
initially minor muscle pain but thought it was due to my working out.,muscle pain,myalgia,PT
initially minor muscle pain but thought it was due to my working out.,low energy,loss of energy,LLT
initially minor muscle pain but thought it was due to my working out.,muscle achs,myalgia,PT
initially minor muscle pain but thought it was due to my working out.,severe muscle pain in hip joints,pain in hip,LLT
initially minor muscle pain but thought it was due to my working out.,severe muscle pain in sholder,pain,PT
initially minor muscle pain but thought it was due to my working out.,pain,pain,PT
initially minor muscle pain but thought it was due to my working out.,severe muscle pain in sholder,shoulder pain,LLT
"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms.",severe joint aches,arthralgia,PT
"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms.",chronic diarrhea,chronic diarrhoea,LLT
"intermittent temperature elevation, chronic diarrhea, and severe joint aches similar to abdominal flu symptoms.",abdominal flu symptoms,gastrointestinal symptom nos,LLT
always feeling tired.,always feeling tired,exhaustion,LLT
"muscle tightness, cramping in legs and back.",irritable,irritable,LLT
"muscle tightness, cramping in legs and back.",muscle tightness,hypertonia,PT
"muscle tightness, cramping in legs and back.",cramping in legs,leg cramps,LLT
"muscle tightness, cramping in legs and back.",felt like i had the flu,influenza like illness,PT
"muscle tightness, cramping in legs and back.",problems sleeping,difficulty sleeping,LLT
"muscle tightness, cramping in legs and back.",cramping in back,muscle cramp,LLT
"muscle tightness, cramping in legs and back.",problems concentrating,poor concentration,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",eyes get blury,blurred vision,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",lost my ability to walk,unable to walk,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",nerve damage,nerve injury,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",pain,pain,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",shufflihg gait,gait shuffling,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",could not walk,walking difficulty,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",hairloss,hair loss,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",muscle weakness,muscle weakness,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",spots on my body,rash,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",hair loss,hair loss,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",weakness,asthenia,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",ringing in my ears,ringing in ears,LLT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",memory loss,amnesia,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",aphasia,aphasia,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",red spots all over my body,rash,PT
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.",slowed speach,slow speech,PT
my chloresterol was 220 and my physician prescribed lipitor.,damage to my muscles,myopathy,PT
my chloresterol was 220 and my physician prescribed lipitor.,hip hurts,pain in hip,LLT
my chloresterol was 220 and my physician prescribed lipitor.,sore,pain,PT
my chloresterol was 220 and my physician prescribed lipitor.,no strength,muscle weakness,LLT
my chloresterol was 220 and my physician prescribed lipitor.,painful time lifting my own arm,pain aggravated,LLT
extreme fatigue and general weak feeling overall like i have never experienced ever in my entire life before.,general weak feeling overall,flatulence,PT
extreme fatigue and general weak feeling overall like i have never experienced ever in my entire life before.,extreme fatigue,asthenia,PT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",knee pain,knee pain,LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",muscles aches,myalgia,PT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",blurred vision,blurred vision,LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",headaches,headache,PT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",muscle weakness,muscle weakness,LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",difficulty to walk,walking difficulty,LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",back pain,backache,LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",involuntary movements,involuntary movement (nos),LLT
"involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",neck pain,neck pain,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",vertigo,vertigo,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",unable to walk,unable to walk,LLT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",vertigo like attacks,vertigo,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",fatique,fatigue,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",loss of any sex drive,libido decreased,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",pain,pain,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",fatigue,fatigue,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",high sleep requirement,hypersomnia,PT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",leg support weak,weakness of limbs,LLT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",mussel weakness,muscle weakness,LLT
"fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.",loss of support in calf musells,muscle weakness lower limb,LLT
"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",leg pain,pain of lower extremities,LLT
"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",vertigo like symptons,vertigo,PT
"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",vertigo like episodes,vertigo,PT
"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",increase in sleep requirement,hypersomnia,PT
"gradual but significant increase in sleep requirement and energy loss,loss of calf support in legs,vertigo like episodes,complaints to doctors were to no avail, convinced me in error.",energy loss,loss of energy,LLT
aches and pains everywhere.,depressed,depression,PT
aches and pains everywhere.,diminished mental acuity,mental dullness,LLT
aches and pains everywhere.,aches and pains,generalised aching,LLT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",sore,pain,PT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",in both legs weakness,weakness of limbs,LLT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",cramped,muscle cramp,LLT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",weak,asthenia,PT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",leg pain,pain of lower extremities,LLT
"no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",in both legs pain,pain of lower extremities,LLT
"elevated cpk levels, muscle problems, felt bad.",elevated cpk levels,raised serum creatinine,LLT
"elevated cpk levels, muscle problems, felt bad.",muscle problems,myopathy,PT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",change in personality,personality change,PT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",neuropathy,neuropathy,LLT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",suicidal depression,depression,PT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",weight loss,weight loss,LLT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",paranoia,"delusional disorder, unspecified type",PT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",fatigue,fatigue,PT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",back pain,backache,LLT
"fatigue,neuropathy, taste perversion, back pain,suicidal depression,weight loss, paranoia,general change in personality.",taste perversion,taste altered,LLT
"oddly, only positive.",sore joints,arthralgia,PT
"oddly, only positive.",gas,flatulence,PT
"oddly, only positive.",sleeplessness,insomnia,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",indegestion,indigestion acid,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",abnormal uterine bleeding,dysfunctional uterine bleeding,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",bloating,bloating,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",tingling,pins and needles,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",decreased immune system,immunosuppression,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",anxiety,anxiety,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",decreased sense of smell,diminished sense of smell,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",shortness of breath,dyspnoea,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",stiffness,stiffness,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",stuffy nose,nasal congestion,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",trouble walking,walking difficulty,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",fatigue,fatigue,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",trouble swallowing,swallowing difficult,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",gas,walking disability,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",back pain,backache,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",hoarse voice,hoarseness,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",bleeding in my abdomen after coughing and rupturing a blood vessel,intra-abdominal haemorrhage,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",decreased sense of taste,taste loss,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",",lack of balance and cooridination",incoordination,LLT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",",lack of balance and cooridination",memory impairment,PT
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",plugged ears,sensation of block in ear,LLT
