,meddra,definition
325,hip arthrosis, either side of the body below the waist and above the thigh 
326,reduced interest in usual activities, cut down on; make a reduction in a sense of concern with and curiosity about someone or something a unit of length equal to one twelfth of a foot occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure any specific behavior
327,felt like a zombie, a fabric made of compressed matted animal fibers a similar kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation a dead body that has been brought back to life by a supernatural force
328,diarrhea, frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
329,peritonitis, inflammation of the peritoneum
330,als, thickening of tissue in the motor tracts of the lateral columns and anterior horns of the spinal cord; results in progressive muscle atrophy that starts in the limbs
331,labyrinthitis, inflammation of the inner ear; can cause vertigo and vomiting
332,nose bleed, the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals lose blood from one's body
333,choking, a condition caused by blocking the airways to the lungs (as with food or swelling of the larynx)
334,muscle weakness upper limb, one of the contractile organs of the body a flaw or weak point the higher of two berths one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
335,absent-minded, 
336,dysphonia, speech disorder attributable to a disorder of phonation
337,plantar fasciitis, relating to or occurring on the undersurface of the foot 
338,calf pain, young of domestic cattle a symptom of some physical hurt or disorder
339,decreased muscle tone," decrease in size, extent, or range one of the contractile organs of the body the quality of a person's voice"
340,sweating increased, the process of the sweat glands of the skin secreting a salty fluid become bigger or greater in amount
341,tingling skin, a somatic sensation as from many tiny prickles a natural protective body covering and site of the sense of touch
342,screaming, sharp piercing cry
343,blood pressure high," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) a lofty level or position or degree"
344,arm injury, a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb any physical damage to the body caused by violence or accident or fracture etc.
345,fuzzy, covering with fine light hairs
346,incoordination, a lack of coordination of movements
347,heaviness in limbs, the property of being comparatively great in weight a unit of length equal to one twelfth of a foot one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
348,stiff joint, an ordinary man (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
349,bad dreams, that which is below standard or expectations as of ethics or decency a series of mental images and emotions occurring during sleep
350,invalid, someone who is incapacitated by a chronic illness or injury
351,fever, a rise in the temperature of the body; frequently a symptom of infection
352,loss of vision, something that is lost  a vivid mental image
353,heartbeats irregular, the rhythmic contraction and expansion of the arteries with each beat of the heart a member of an irregular armed force that fights a stronger force by sabotage and harassment
354,diabetes, a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst
355,dry mouth, a reformer who opposes the use of intoxicating beverages the opening through which food is taken in and vocalizations emerge
356,emotional instability, determined or actuated by emotion rather than reason an unstable order
357,shoulder pain (due joint disorder), the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder  (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) 
358,ulcer colon, a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
359,joint disorder, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a physical condition in which there is a disturbance of normal functioning
360,raw throat, informal terms for nakedness the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
361,appetite suppressed, a feeling of craving something to put down by force or authority
362,discomfort nos, the state of being tense and feeling pain a negative
363,osteoarthritis knee, chronic breakdown of cartilage in the joints; the most common form of arthritis occurring usually after middle age hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
364,blister, a flaw on a surface resulting when an applied substance does not adhere (as an air bubble in a coat of paint)
365,cramp legs, a painful and involuntary muscular contraction staying power
366,haematochezia, passage of stools containing blood (as from diverticulosis or colon cancer or peptic ulcer)
367,acute pain, a mark (') placed above a vowel to indicate pronunciation a symptom of some physical hurt or disorder
368,disorder nervous system, a physical condition in which there is a disturbance of normal functioning easily agitated instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
369,head spinning, the upper part of the human body or the front part of the body in animals; contains the face and brains creating thread
370,visual impairment, relating to or using sight the occurrence of a change for the worse
371,abdominal symptom nos, the muscles of the abdomen (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease a negative
372,tendon rupture, a cord or band of inelastic tissue connecting a muscle with its bony attachment state of being torn or burst open
373,immunosuppression, lowering the body's normal immune response to invasion by foreign substances; can be deliberate (as in lowering the immune response to prevent rejection of a transplanted organ) or incidental (as a side effect of radiotherapy or chemotherapy for cancer)
374,muscle injury, one of the contractile organs of the body any physical damage to the body caused by violence or accident or fracture etc.
375,frequent bowel movements, do one's shopping at; do business with; be a customer or client of the part of the alimentary canal between the stomach and the anus a change of position that does not entail a change of location
376,lateral epicondylitis, a pass to a receiver upfield from the passer painful inflammation of the muscles and soft tissues around an epicondyle
377,abdominal discomfort, the muscles of the abdomen the state of being tense and feeling pain
378,sleep disturbance," a natural and periodic state of rest during which consciousness of the world is suspended activity that is a malfunction, intrusion, or interruption"
379,increased state of alertness, become bigger or greater in amount the territory occupied by one of the constituent administrative districts of a nation  the process of paying close and continuous attention
380,achilles tendonitis, a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel' inflammation of a tendon
381,hangover effect, disagreeable aftereffects from the use of drugs (especially alcohol) a phenomenon that follows and is caused by some previous phenomenon
382,arthralgia lumbar, pain in a joint or joints of or relating to or near the part of the back between the ribs and the hipbones
383,vision loss, a vivid mental image something that is lost
384,swelling of fingers, an abnormal protuberance or localized enlargement  any of the terminal members of the hand (sometimes excepting the thumb)
385,hives, an itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs
386,teeth grinding, the kind and number and arrangement of teeth (collectively) in a person or animal material resulting from the process of grinding
387,confusion, disorder resulting from a failure to behave predictably
388,body temperature increased," the entire structure of an organism (an animal, plant, or human being) the degree of hotness or coldness of a body or environment (corresponding to its molecular activity) become bigger or greater in amount"
389,swelling of limbs, an abnormal protuberance or localized enlargement  one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
390,hypomania, 
391,mixed manic depressive episode, mix together different elements affected with or marked by frenzy or mania uncontrolled by reason someone suffering psychological depression a happening that is distinctive in a series of related events
392,foot cramps, the part of the leg of a human being below the ankle joint a painful and involuntary muscular contraction
393,lethargic, deficient in alertness or activity
394,disorientated, cause to be lost or disoriented
395,night sweats, the time after sunset and before sunrise while it is dark outside garment consisting of sweat pants and a sweatshirt
396,joint clicking, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) move or strike with a noise
397,restless leg syndrome, worried and uneasy a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a complex of concurrent things
398,heartburn, a painful burning sensation in the chest caused by gastroesophageal reflux (backflow from the stomach irritating the esophagus); symptomatic of an ulcer or a diaphragmatic hernia or other disorder
399,scleral hyperaemia,  increased blood in an organ or other body part
400,respiratory failure, pertaining to respiration an act that fails
401,numbness of lower extremities, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction  the lower of two berths an external body part that projects from the body
402,urine color abnormal, liquid excretory product a visual attribute of things that results from the light they emit or transmit or reflect not normal; not typical or usual or regular or conforming to a norm
403,nicotine craving, an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide an intense desire for some particular thing
404,renal failure, of or relating to the kidneys an act that fails
405,bursitis, inflammation of a bursa; frequently in the shoulder
406,appetite absent, a feeling of craving something go away or leave
407,jaw pain, the part of the skull of a vertebrate that frames the mouth and holds the teeth a symptom of some physical hurt or disorder
408,arthralgia multiple, pain in a joint or joints the product of a quantity by an integer
409,sciatica, neuralgia along the sciatic nerve
410,feeling hot, the experiencing of affective and emotional states used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
411,emotional reaction, determined or actuated by emotion rather than reason (chemistry) a process in which one or more substances are changed into others
412,feeling strange, the experiencing of affective and emotional states being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
413,generally unwell, usually; as a rule somewhat ill or prone to illness
414,enlargement breast female, the act of increasing (something) in size or volume or quantity or scope the front of the trunk from the neck to the abdomen an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)
415,rib pain, support resembling the rib of an animal a symptom of some physical hurt or disorder
416,yellow skin, yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons a natural protective body covering and site of the sense of touch
417,pain in spine, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
418,glaucoma, an eye disease that damages the optic nerve and impairs vision (sometimes progressing to blindness)
419,prolonged periods, lengthen in time; cause to be or last longer an amount of time
420,nasal mucosal swelling, a consonant produced through the nose with the mouth closed of or relating to mucous membranes an abnormal protuberance or localized enlargement
421,feeling abnormal, the experiencing of affective and emotional states not normal; not typical or usual or regular or conforming to a norm
422,numbness of fingers, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction  any of the terminal members of the hand (sometimes excepting the thumb)
423,musculoskeletal pain, relating to muscles and skeleton a symptom of some physical hurt or disorder
424,taste altered, the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus cause to change; make different; cause a transformation
425,adhesive capsulitis of shoulder, a substance that unites or bonds surfaces together   the part of the body between the neck and the upper arm
426,distended blood vessels," become wider the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a tube in which a body fluid circulates"
427,jaundice, yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
428,thoracic pain, of or relating to the chest or thorax a symptom of some physical hurt or disorder
429,abdominal distension gaseous, the muscles of the abdomen the act of expanding by pressure from within existing as or having characteristics of a gas
430,lightheadedness, a reeling sensation; a feeling that you are about to fall
431,numbness in hand, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot the (prehensile) extremity of the superior limb
432,tendon injury, a cord or band of inelastic tissue connecting a muscle with its bony attachment any physical damage to the body caused by violence or accident or fracture etc.
433,rhabdomyolysis, 
434,limbs stiffness, one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper the physical property of being inflexible and hard to bend
435,weakness, a flaw or weak point
436,excoriation, an abraded area where the skin is torn or worn off
437,acid reflux (oesophageal), any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt an abnormal backward flow of body fluids 
438,nervousness, the anxious feeling you have when you have the jitters
439,wrist pain, a joint between the distal end of the radius and the proximal row of carpal bones a symptom of some physical hurt or disorder
440,perceptual distortion, of or relating to the act of perceiving a change for the worse
441,urinary incontinence, of or relating to the function or production or secretion of urine involuntary urination or defecation
442,electric shock sensation, a car that is powered by electricity the feeling of distress and disbelief that you have when something bad happens accidentally an unelaborated elementary awareness of stimulation
443,daytime sleepiness, the time after sunrise and before sunset while it is light outside a very sleepy state
444,cardiomyopathy, a disorder (usually of unknown origin) of the heart muscle (myocardium)
445,muscle rigidity, one of the contractile organs of the body the physical property of being stiff and resisting bending
446,behavior abnormal, manner of acting or controlling yourself not normal; not typical or usual or regular or conforming to a norm
447,fear, an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
448,talkativeness, the quality of being wordy and talkative
449,liver function tests raised, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) trying something to find out about it raise the level or amount of something
450,vitamin d deficiency, any of a group of organic substances essential in small quantities to normal metabolism a fat-soluble vitamin that prevents rickets the state of needing something that is absent or unavailable
451,elevated blood pressure reading without diagnosis of hypertension," a railway that is powered by electricity and that runs on a track that is raised above the street level the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) the cognitive process of understanding a written linguistic message  identifying the nature or cause of some phenomenon  a common disorder in which blood pressure remains abnormally high (a reading of 140/90 mm Hg or greater)"
452,feeling anxious, the experiencing of affective and emotional states eagerly desirous
453,nauseated, upset and make nauseated
454,panic attack, an overwhelming feeling of fear and anxiety (military) an offensive against an enemy (using weapons)
455,food aversion, any substance that can be metabolized by an animal to give energy and build tissue a feeling of intense dislike
456,malodorous burping, having an unpleasant smell a reflex that expels gas noisily from the stomach through the mouth
457,pain abdominal, a symptom of some physical hurt or disorder the muscles of the abdomen
458,chemotherapy, the use of chemical agents to treat or control disease (or mental illness)
459,convulsions, a sudden uncontrollable attack
460,pale, a wooden strip forming part of a fence
461,pain in arm, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
462,light-headed, weak and likely to lose consciousness
463,frightening dreams, the act of inspiring with fear a series of mental images and emotions occurring during sleep
464,saliva altered, a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches cause to change; make different; cause a transformation
465,nerve injury, any bundle of nerve fibers running to various organs and tissues of the body any physical damage to the body caused by violence or accident or fracture etc.
466,speech impairment nos, the act of delivering a formal spoken communication to an audience the occurrence of a change for the worse a negative
467,dizzy, make dizzy or giddy
468,aggression, a disposition to behave aggressively
469,ankle oedema," a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
470,burping, a reflex that expels gas noisily from the stomach through the mouth
471,pelvic pain, of or relating to the pelvis a symptom of some physical hurt or disorder
472,instability emotional, an unstable order determined or actuated by emotion rather than reason
473,swallowing impaired, pass through the esophagus as part of eating or drinking make worse or less effective
474,thyroid disorder, located near the base of the neck a physical condition in which there is a disturbance of normal functioning
475,eye disorder, the organ of sight a physical condition in which there is a disturbance of normal functioning
476,hearing loss, (law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence something that is lost
477,nasal discharge, a consonant produced through the nose with the mouth closed the sudden giving off of energy
478,inflammation, a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat
479,infection upper respiratory, the pathological state resulting from the invasion of the body by pathogenic microorganisms the higher of two berths pertaining to respiration
480,cold hands, a mild viral infection involving the nose and respiratory passages (but not the lungs) (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
481,passed out, go across or through (baseball) a failure by a batter or runner to reach a base safely in baseball
482,blepharospasm, spasm of the eyelid muscle resulting in closure of the eye
483,shaking, the act of causing something to move up and down (or back and forth) with quick movements
484,libido lack, (psychoanalysis) a Freudian term for sexual urge or desire the state of needing something that is absent or unavailable
485,increased blood pressure," become bigger or greater in amount the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)"
486,breath odor, the process of taking in and expelling air during breathing any property detected by the olfactory system
487,excessive eating, beyond normal limits the act of consuming food
488,drug dependence, a substance that is used as a medicine or narcotic the state of relying on or being controlled by someone or something else
489,bowel motility disorder, the part of the alimentary canal between the stomach and the anus ability to move spontaneously and independently a physical condition in which there is a disturbance of normal functioning
490,scleral icterus,  yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
491,hallucinations, illusory perception; a common symptom of severe mental disorder
492,type 2 diabetes mellitus, a subdivision of a particular kind of thing the cardinal number that is the sum of one and one or a numeral representing this number a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst 
493,flank pain, the side of military or naval formation a symptom of some physical hurt or disorder
494,feeling high, the experiencing of affective and emotional states a lofty level or position or degree
495,ophthalmic migraine, of or relating to the eye a severe recurring vascular headache; occurs more frequently in women than men
496,unsteadiness, the quality of not being steady or securely fixed in place
497,lethargy, a state of comatose torpor (as found in sleeping sickness)
498,depressed mood, lower someone's spirits; make downhearted a characteristic (habitual or relatively temporary) state of feeling
499,"heart disease, unspecified", the locus of feelings and intuitions  not stated explicitly or in detail
500,weird feeling, fate personified; any one of the three Weird Sisters the experiencing of affective and emotional states
501,pain in limb, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
502,degeneration muscle, the process of declining from a higher to a lower level of effective power or vitality or essential quality one of the contractile organs of the body
503,paraesthesia foot, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage the part of the leg of a human being below the ankle joint
504,tremble, a reflex motion caused by cold or fear or excitement
505,tingling sensation, a somatic sensation as from many tiny prickles an unelaborated elementary awareness of stimulation
506,heart rate abnormal, the locus of feelings and intuitions a magnitude or frequency relative to a time unit not normal; not typical or usual or regular or conforming to a norm
507,blood pressure dropped," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) let fall to the ground"
508,behaviour hyperactive, the action or reaction of something (as a machine or substance) under specified circumstances more active than normal
509,iliotibial band friction syndrome,  an unofficial association of people or groups a state of conflict between persons a complex of concurrent things
510,achilles tendon rupture, a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel' a cord or band of inelastic tissue connecting a muscle with its bony attachment state of being torn or burst open
511,numbness in feet, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot the part of the leg of a human being below the ankle joint
512,combative reaction," inclined or showing an inclination to dispute or disagree, even to engage in law suits (chemistry) a process in which one or more substances are changed into others"
513,sleep walking, a natural and periodic state of rest during which consciousness of the world is suspended the act of traveling by foot
514,erectile dysfunction, capable of being raised to an upright position (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group
515,brain disorder nos, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord a physical condition in which there is a disturbance of normal functioning a negative
516,hemiparesis (right),  
517,kidney disorder, either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine a physical condition in which there is a disturbance of normal functioning
518,mania, an irrational but irresistible motive for a belief or action
519,back ache, the posterior part of a human (or animal) body from the neck to the end of the spine a dull persistent (usually moderately intense) pain
520,ankle stiffness, a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus the physical property of being inflexible and hard to bend
521,bedridden, confined to bed (by illness)
522,phlebitis, inflammation of a vein (usually in the legs)
523,gait shuffling, the rate of moving (especially walking or running) walking with a slow dragging motion without lifting your feet
524,urine colour abnormal, liquid excretory product any material used for its color not normal; not typical or usual or regular or conforming to a norm
525,chronic rhinitis, being long-lasting and recurrent or characterized by long suffering an inflammation of the mucous membrane lining the nose (usually associated with nasal discharge)
526,generalised muscle aches, speak or write in generalities one of the contractile organs of the body a dull persistent (usually moderately intense) pain
527,slowed thinking, lose velocity; move more slowly the process of using your mind to consider something carefully
528,facial palsy, cranial nerve that supplies facial muscles loss of the ability to move a body part
529,pain in testis, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot one of the two male reproductive glands that produce spermatozoa and secrete androgens
530,suicidal ideation, dangerous to yourself or your interests the process of forming and relating ideas
531,stress, the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
532,unpleasant personality," disagreeable to the senses, to the mind, or feelings the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual"
533,parkinson's disease, a degenerative disorder of the central nervous system characterized by tremor and impaired muscular coordination an impairment of health or a condition of abnormal functioning
534,immobile, not capable of movement or of being moved
535,liver damage, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes the occurrence of a change for the worse
536,discolouration skin, a soiled or discolored appearance a natural protective body covering and site of the sense of touch
537,urinary frequency, of or relating to the function or production or secretion of urine the number of occurrences within a given time period
538,feeling sad, the experiencing of affective and emotional states experiencing or showing sorrow or unhappiness
539,stiff neck, an ordinary man the part of an organism (human or animal) that connects the head to the rest of the body
540,injection site stinging, the forceful insertion of a substance under pressure the piece of land on which something is located (or is to be located) a kind of pain; something as sudden and painful as being stung
541,syncope, a spontaneous loss of consciousness caused by insufficient blood to the brain
542,movements reduced, a change of position that does not entail a change of location cut down on; make a reduction in
543,stammering, speak haltingly
544,illogical thinking, lacking in correct logical relation the process of using your mind to consider something carefully
545,difficulty thinking, an effort that is inconvenient the process of using your mind to consider something carefully
546,excessive daytime sleepiness, beyond normal limits the time after sunrise and before sunset while it is light outside a very sleepy state
547,neurodegenerative disorder,  a physical condition in which there is a disturbance of normal functioning
548,fluid retention, a substance that is fluid at room temperature and pressure the act of retaining something
549,foggy feeling in head, stunned or confused and slow to react (as from blows or drunkenness or exhaustion) the experiencing of affective and emotional states a unit of length equal to one twelfth of a foot the upper part of the human body or the front part of the body in animals; contains the face and brains
550,uterine pain, of or involving the uterus a symptom of some physical hurt or disorder
551,difficulty breathing, an effort that is inconvenient the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation
552,staggering, walk as if unable to control one's movements
553,itchy scalp, nervous and unable to relax the skin that covers the top of the head
554,rhinitis, an inflammation of the mucous membrane lining the nose (usually associated with nasal discharge)
555,haematuria, the presence of blood in the urine; often a symptom of urinary tract disease
556,mental deterioration, involving the mind or an intellectual process a symptom of reduced quality or strength
557,falling down, descend in free fall under the influence of gravity soft fine feathers
558,blurry vision, indistinct or hazy in outline a vivid mental image
559,head pain, the upper part of the human body or the front part of the body in animals; contains the face and brains a symptom of some physical hurt or disorder
560,increased tendency to bruise, become bigger or greater in amount an attitude of mind especially one that favors one alternative over others  an injury that doesn't break the skin but results in some discoloration
561,acne, an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
562,panic attacks, an overwhelming feeling of fear and anxiety (military) an offensive against an enemy (using weapons)
563,pain throat, a symptom of some physical hurt or disorder the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
564,feeling lifeless, the experiencing of affective and emotional states deprived of life; no longer living
565,arthropathy, a pathology or abnormality of a joint
566,apudoma nos,  a negative
567,gastrointestinal upset, of or relating to the stomach and intestines an unhappy and worried mental state
568,taste loss, the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus something that is lost
569,chronic fatigue syndrome, being long-lasting and recurrent or characterized by long suffering temporary loss of strength and energy resulting from hard physical or mental work a complex of concurrent things
570,poisoning by antibiotic drugs, the physiological state produced by a poison or other toxic substance so as to pass a given point a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections a substance that is used as a medicine or narcotic
571,concentration loss, the strength of a solution; number of molecules of a substance in a given volume something that is lost
572,psychotic disorder, a person afflicted with psychosis a physical condition in which there is a disturbance of normal functioning
573,blackout, a suspension of radio or tv broadcasting
574,numbness of limbs, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction  one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
575,anaemia, a lack of vitality
576,aching in limb, a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
577,cane user, a stick that people can lean on to help them walk a person who makes use of a thing; someone who uses or employs something
578,hallucination, illusory perception; a common symptom of severe mental disorder
579,ulcer mouth, a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue the opening through which food is taken in and vocalizations emerge
580,muscle spasms, one of the contractile organs of the body a painful and involuntary muscular contraction
581,pulse rapid, (electronics) a sharp transient wave in the normal electrical state (or a series of such transients) a part of a river where the current is very fast
582,nasal stuffiness, a consonant produced through the nose with the mouth closed state of obstruction or stoppage or air in the nose or throat
583,near death experience, move towards the event of dying or departure from life the accumulation of knowledge or skill that results from direct participation in events or activities
584,hot feeling generalised, used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning the experiencing of affective and emotional states speak or write in generalities
585,hypomenorrhoea, 
586,appetite fluctuation, a feeling of craving something a wave motion
587,disorder tendon, a physical condition in which there is a disturbance of normal functioning a cord or band of inelastic tissue connecting a muscle with its bony attachment
588,intercostal myalgia, muscles between the ribs; they contract during inspiration pain in a muscle or group of muscles
589,immune system disorder, a person who is immune to a particular infection instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity a physical condition in which there is a disturbance of normal functioning
590,epigastric pain, of or relating to the anterior walls of the abdomen a symptom of some physical hurt or disorder
591,pain right upper quadrant," a symptom of some physical hurt or disorder an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" the higher of two berths a quarter of the circumference of a circle"
592,nasal congestion, a consonant produced through the nose with the mouth closed excessive accumulation of blood or other fluid in a body part
593,herpes zoster, viral diseases causing eruptions of the skin or mucous membrane eruptions along a nerve path often accompanied by severe neuralgia
594,hunger abnormal, a physiological need for food; the consequence of food deprivation not normal; not typical or usual or regular or conforming to a norm
595,infection, the pathological state resulting from the invasion of the body by pathogenic microorganisms
596,numbness throat, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
597,rage, a feeling of intense anger
598,sweating abnormal, the process of the sweat glands of the skin secreting a salty fluid not normal; not typical or usual or regular or conforming to a norm
599,fibromyalgia, 
600,renal pain, of or relating to the kidneys a symptom of some physical hurt or disorder
601,colitis, inflammation of the colon
602,general body pain," a general officer of the highest rank the entire structure of an organism (an animal, plant, or human being) a symptom of some physical hurt or disorder"
603,tachycardia, abnormally rapid heartbeat (over 100 beats per minute)
604,tongue coated, a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity put a coat on; cover the surface of; furnish with a surface
605,mental concentration difficulty, involving the mind or an intellectual process the strength of a solution; number of molecules of a substance in a given volume an effort that is inconvenient
606,blood cholesterol decreased," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues decrease in size, extent, or range"
607,constipation predominant irritable bowel syndrome, irregular and infrequent or difficult evacuation of the bowels; can be a symptom of intestinal obstruction or diverticulitis most frequent or common easily irritated or annoyed the part of the alimentary canal between the stomach and the anus a complex of concurrent things
608,agoraphobia, a morbid fear of open spaces (as fear of being caught alone in some public place)
609,contusion, an injury that doesn't break the skin but results in some discoloration
610,hyperactive bowel sounds, more active than normal the part of the alimentary canal between the stomach and the anus the particular auditory effect produced by a given cause
611,strange smell sensation, being definitely out of the ordinary and unexpected; slightly odd or even a bit weird the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form an unelaborated elementary awareness of stimulation
612,lung disorder, either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood a physical condition in which there is a disturbance of normal functioning
613,cramps, a painful and involuntary muscular contraction
614,hand swelling, the (prehensile) extremity of the superior limb an abnormal protuberance or localized enlargement
615,spaced out, place at intervals (baseball) a failure by a batter or runner to reach a base safely in baseball
616,pruritus ani, an intense itching sensation that can have various causes (as by allergies or infection or lymphoma or jaundice etc.) black tropical American cuckoo
