,ade,definition
808,direar, 
809,belly weight gain, the region of the body of a vertebrate between the thorax and the pelvis the vertical force exerted by a mass as a result of gravity a quantity that is added
810,could barely get out of bed in the morning,  only a very short time before a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent (baseball) a failure by a batter or runner to reach a base safely in baseball  a piece of furniture that provides a place to sleep a unit of length equal to one twelfth of a foot  the time period between dawn and noon
811,muscle cramps in lower legs, one of the contractile organs of the body a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot the lower of two berths staying power
812,sore knees, an open skin infection hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
813,dizzieness, 
814,increased appetite, become bigger or greater in amount a feeling of craving something
815,blood in my stool," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a unit of length equal to one twelfth of a foot  a simple seat without a back or arms"
816,brain fog, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord droplets of water vapor suspended in the air near the ground
817,joints in my angles hurt, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a unit of length equal to one twelfth of a foot  the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians any physical damage to the body caused by violence or accident or fracture etc.
818,difficulty walking, an effort that is inconvenient the act of traveling by foot
819,sudden horriable grabbing pain in one ankle, happening without warning or in a short space of time  take hold of so as to seize or restrain or stop the motion of a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the smallest whole number or a numeral representing this number a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
820,neurological damage, of or relating to or used in or practicing neurology the occurrence of a change for the worse
821,zombie, a dead body that has been brought back to life by a supernatural force
822,shouldar ache,  a dull persistent (usually moderately intense) pain
823,going to my head, the act of departing   the upper part of the human body or the front part of the body in animals; contains the face and brains
824,geting bad swets, come into the possession of something concrete or abstract that which is below standard or expectations as of ethics or decency 
825,sight loss, an instance of visual perception something that is lost
826,abdominal problems, the muscles of the abdomen a state of difficulty that needs to be resolved
827,tendon rupture, a cord or band of inelastic tissue connecting a muscle with its bony attachment state of being torn or burst open
828,cramping in my hands, secure with a cramp a unit of length equal to one twelfth of a foot  (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
829,neck muscle pain, the part of an organism (human or animal) that connects the head to the rest of the body one of the contractile organs of the body a symptom of some physical hurt or disorder
830,decreased immune system," decrease in size, extent, or range a person who is immune to a particular infection instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity"
831,inability to walk with left foot pain, lack of ability (especially mental ability) to do something  the act of traveling by foot  location near or direction toward the left side; i.e. the side to the north when a person or object faces east the part of the leg of a human being below the ankle joint a symptom of some physical hurt or disorder
832,"throbbing,burning sensation",  an unelaborated elementary awareness of stimulation
833,feeling exausted, the experiencing of affective and emotional states 
834,aching over my entire body," a dull persistent (usually moderately intense) pain (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch  uncastrated adult male horse the entire structure of an organism (an animal, plant, or human being)"
835,diminished mental acuity," decrease in size, extent, or range involving the mind or an intellectual process sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)"
836,pins and needles, a piece of jewelry that is pinned onto the wearer's garment  the leaf of a conifer
837,achy legs, causing a dull and steady pain staying power
838,"permanent, irreversible muscle damage",  incapable of being reversed one of the contractile organs of the body the occurrence of a change for the worse
839,caused me to limp," give rise to; cause to happen or occur, not always intentionally a state in New England  the uneven manner of walking that results from an injured leg"
840,couldn't eat or drink,  take in solid food a state in northwestern United States on the Pacific a single serving of a beverage
841,severe nausea, intensely or extremely bad or unpleasant in degree or quality the state that precedes vomiting
842,continuous shitting, continuing in time or space without interruption the elimination of fecal waste through the anus
843,tennis elbow type pain, a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped a subdivision of a particular kind of thing a symptom of some physical hurt or disorder
844,extreme pain in shoulders, the furthest or highest degree of something a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
845,abdominal pressure, the muscles of the abdomen the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
846,back to sleep, the posterior part of a human (or animal) body from the neck to the end of the spine  a natural and periodic state of rest during which consciousness of the world is suspended
847,pain in my lower leg, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the lower of two berths a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
848,thining hair, lose thickness; become thin or thinner a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
849,blinding headaches, render unable to see something or someone that causes anxiety; a source of unhappiness
850,constant alert, a quantity that does not vary condition of heightened watchfulness or preparation for action
851,swollen," increase in size, magnitude, number, or intensity"
852,aches and pain in both arms, a dull persistent (usually moderately intense) pain  a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two weapons considered collectively
853,diarrhoa, 
854,pains neck, an effortful attempt to attain a goal the part of an organism (human or animal) that connects the head to the rest of the body
855,achilles tendon pain in, a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel' a cord or band of inelastic tissue connecting a muscle with its bony attachment a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot
856,hangover, disagreeable aftereffects from the use of drugs (especially alcohol)
857,weakness in back, a flaw or weak point a unit of length equal to one twelfth of a foot the posterior part of a human (or animal) body from the neck to the end of the spine
858,numbness in all toes, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class one of the digits of the foot
859,concentration is worse than ever," the strength of a solution; number of molecules of a substance in a given volume have the quality of being; (copula, used with an adjective or a predicate noun) something inferior in quality or condition or effect  at any time"
860,joint pain in my lower back, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the lower of two berths the posterior part of a human (or animal) body from the neck to the end of the spine
861,weakness in arms, a flaw or weak point a unit of length equal to one twelfth of a foot weapons considered collectively
862,restlesslegs, 
863,sudden loss of vision, happening without warning or in a short space of time something that is lost  a vivid mental image
864,fingers swelled up," any of the terminal members of the hand (sometimes excepting the thumb) increase in size, magnitude, number, or intensity raise"
865,worse migraines, something inferior in quality or condition or effect a severe recurring vascular headache; occurs more frequently in women than men
866,asleep, in a state of sleep
867,very severe pain in arms, precisely as stated intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot weapons considered collectively
868,severe welts, intensely or extremely bad or unpleasant in degree or quality a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions
869,grinds the shit out of their teeth, an insignificant student who is ridiculed as being affected or boringly studious  obscene terms for feces (baseball) a failure by a batter or runner to reach a base safely in baseball   the kind and number and arrangement of teeth (collectively) in a person or animal
870,confusion, disorder resulting from a failure to behave predictably
871,sleep for days, a natural and periodic state of rest during which consciousness of the world is suspended  the time during which someone's life continues
872,spasms all throughout my legs, a painful and involuntary muscular contraction quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class from first to last  staying power
873,irritability, an irritable petulant feeling
874,overheating, excessive heating
875,swollen legs," increase in size, magnitude, number, or intensity staying power"
876,body flushes," the entire structure of an organism (an animal, plant, or human being) the period of greatest prosperity or productivity"
877,hypomania, 
878,soreness, a pain that is felt (as when the area is touched)
879,exhausted, wear out completely
880,severe pain in my feet, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the part of the leg of a human being below the ankle joint
881,worse pain, something inferior in quality or condition or effect a symptom of some physical hurt or disorder
882,achilles tendonsitis, a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel' 
883,triggers my rapid cycling, lever that activates the firing mechanism of a gun  a part of a river where the current is very fast the sport of traveling on a bicycle or motorcycle
884,flatulence, a state of excessive gas in the alimentary canal
885,lost all strength, people who are destined to die soon quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class the property of being physically or mentally strong
886,severe cramps in toes, intensely or extremely bad or unpleasant in degree or quality a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot one of the digits of the foot
887,dizziness (fainting spells), a reeling sensation; a feeling that you are about to fall  
888,lethargic, deficient in alertness or activity
889,hating the world, dislike intensely; feel antipathy or aversion towards  everything that exists anywhere
890,severe foot pains, intensely or extremely bad or unpleasant in degree or quality the part of the leg of a human being below the ankle joint an effortful attempt to attain a goal
891,serious feet cramping, concerned with work or important matters rather than play or trivialities the part of the leg of a human being below the ankle joint secure with a cramp
892,cramps in my feet, a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot  the part of the leg of a human being below the ankle joint
893,joint and muscle pain, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)  one of the contractile organs of the body a symptom of some physical hurt or disorder
894,chronic pain in all my joints, being long-lasting and recurrent or characterized by long suffering a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
895,slurred speach, play smoothly or legato 
896,vomitting, 
897,disorientation, a wild delusion (especially one induced by a hallucinogenic drug)
898,leg pains, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle an effortful attempt to attain a goal
899,legs ache so bad, staying power a dull persistent (usually moderately intense) pain the syllable naming the fifth (dominant) note of any musical scale in solmization that which is below standard or expectations as of ethics or decency
900,tingeling in fingers,  a unit of length equal to one twelfth of a foot any of the terminal members of the hand (sometimes excepting the thumb)
901,grogginess, a dazed and staggering state caused by alcohol
902,severe joint pain, intensely or extremely bad or unpleasant in degree or quality (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder
903,diarreah, 
904,loss of concentration, something that is lost  the strength of a solution; number of molecules of a substance in a given volume
905,night sweats, the time after sunset and before sunrise while it is dark outside garment consisting of sweat pants and a sweatshirt
906,fogginess, an atmosphere in which visibility is reduced because of a cloud of some substance
907,impaired my ability to take long walks, make worse or less effective  the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment  the income or profit arising from such transactions as the sale of land or other property desire strongly or persistently the act of traveling by foot
908,uterine cramping, of or involving the uterus secure with a cramp
909,sharp shock like pain in head, a musical notation indicating one half step higher than the note named the feeling of distress and disbelief that you have when something bad happens accidentally a similar kind a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the upper part of the human body or the front part of the body in animals; contains the face and brains
910,gas/wind, 
911,joints hurt, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) any physical damage to the body caused by violence or accident or fracture etc.
912,weird symptoms (eg. popping) in knee, fate personified; any one of the three Weird Sisters (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease   a unit of length equal to one twelfth of a foot hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
913,rls, 
914,heartburn, a painful burning sensation in the chest caused by gastroesophageal reflux (backflow from the stomach irritating the esophagus); symptomatic of an ulcer or a diaphragmatic hernia or other disorder
915,blood vessels in eye burst," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a tube in which a body fluid circulates a unit of length equal to one twelfth of a foot the organ of sight the act of exploding or bursting"
916,fatigue in forearms, temporary loss of strength and energy resulting from hard physical or mental work a unit of length equal to one twelfth of a foot the part of the superior limb between the elbow and the wrist
917,loss of libido, something that is lost  (psychoanalysis) a Freudian term for sexual urge or desire
918,wont wake, an established custom the consequences of an event (especially a catastrophic event)
919,respiratory failure, pertaining to respiration an act that fails
920,withdrawl, 
921,bleeding constantly," the flow of blood from a ruptured blood vessel without variation or change, in every case"
922,spasms, a painful and involuntary muscular contraction
923,numbness in my shins, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot  the front part of the human leg between the knee and the ankle
924,occasional dizziness, occurring from time to time a reeling sensation; a feeling that you are about to fall
925,bone, rigid connective tissue that makes up the skeleton of vertebrates
926,intestinal/stomach pain,  a symptom of some physical hurt or disorder
927,knee throbbing with pain, hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella an instance of rapid strong pulsation (of the heart)  a symptom of some physical hurt or disorder
928,sore fingers, an open skin infection any of the terminal members of the hand (sometimes excepting the thumb)
929,memory weakened, something that is remembered lessen the strength of
930,irritable, easily irritated or annoyed
931,overall loss of muscle tone, (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps) something that is lost  one of the contractile organs of the body the quality of a person's voice
932,queasiness, a mild state of nausea
933,urine like root beer, liquid excretory product a similar kind (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
934,spotting, the act of spotting or staining something
935,left shoulder aches, location near or direction toward the left side; i.e. the side to the north when a person or object faces east the part of the body between the neck and the upper arm a dull persistent (usually moderately intense) pain
936,mentally weaker, in your mind wanting in physical strength
937,craving, an intense desire for some particular thing
938,swelling in one ankle, an abnormal protuberance or localized enlargement a unit of length equal to one twelfth of a foot the smallest whole number or a numeral representing this number a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
939,bleeding has not subsided, the flow of blood from a ruptured blood vessel (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day negation of a word or group of words wear off or die down
940,was incredibly week, a state in northwestern United States on the Pacific not easy to believe any period of seven consecutive days
941,neuropathy, any pathology of the peripheral nerves
942,coming off effexor was the worst, the act of drawing spatially closer to something kill intentionally and with premeditation  a state in northwestern United States on the Pacific  the least favorable outcome
943,not working as well, negation of a word or group of words a mine or quarry that is being or has been worked a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
944,tingling in muscles of upper torso, a somatic sensation as from many tiny prickles a unit of length equal to one twelfth of a foot one of the contractile organs of the body  the higher of two berths the body excluding the head and neck and limbs
945,painfull, 
946,"hands, have little or no grip",  a person who possesses great material wealth a small amount or duration a state in northwestern United States on the Pacific a negative the act of grasping
947,loss of sleep, something that is lost  a natural and periodic state of rest during which consciousness of the world is suspended
948,feeling like a train wreck, the experiencing of affective and emotional states a similar kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation public transport provided by a line of railway cars coupled together and drawn by a locomotive something or someone that has suffered ruin or dilapidation
949,changes in mood, an event that occurs when something passes from one state or phase to another a unit of length equal to one twelfth of a foot a characteristic (habitual or relatively temporary) state of feeling
950,renal failure, of or relating to the kidneys an act that fails
951,brain so retarded, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord the syllable naming the fifth (dominant) note of any musical scale in solmization people collectively who are mentally retarded
952,inflammed bursae,  a city in northwestern Turkey
953,lassitude, a state of comatose torpor (as found in sleeping sickness)
954,extreme muscle aches, the furthest or highest degree of something one of the contractile organs of the body a dull persistent (usually moderately intense) pain
955,loss of muscle structure in the calf muscles, something that is lost  one of the contractile organs of the body a thing constructed; a complex entity constructed of many parts a unit of length equal to one twelfth of a foot  young of domestic cattle one of the contractile organs of the body
956,don't eat,  take in solid food
957,gastro/ent, 
958,reduced feeling below the knees, cut down on; make a reduction in the experiencing of affective and emotional states in or to a place that is lower  hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
959,jaw pains, the part of the skull of a vertebrate that frames the mouth and holds the teeth an effortful attempt to attain a goal
960,severe pain in my knees, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
961,severe polyathralgia in leg joints, intensely or extremely bad or unpleasant in degree or quality  a unit of length equal to one twelfth of a foot a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
962,sciatic pain, relating to or caused by or afflicted with sciatica a symptom of some physical hurt or disorder
963,blurry vision, indistinct or hazy in outline a vivid mental image
964,neck, the part of an organism (human or animal) that connects the head to the rest of the body
965,muscles very tight, one of the contractile organs of the body precisely as stated closely constrained or constricted or constricting
966,muscle pain in right hip," one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" either side of the body below the waist and above the thigh"
967,glossitis, inflammation of the tongue
968,back pain lower, the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder the lower of two berths
969,increasing pain, become bigger or greater in amount a symptom of some physical hurt or disorder
970,feel hot, an intuitive awareness;  used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
971,brain zaps," that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord a sudden event that imparts energy or excitement, usually with a dramatic impact"
972,gained 80 pounds, obtain the cardinal number that is the product of ten and eight 16 ounces avoirdupois
973,allergic, characterized by or caused by allergy
974,intense shoulder and upper arm pain, possessing or displaying a distinctive feature to a heightened degree the part of the body between the neck and the upper arm  the higher of two berths a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb a symptom of some physical hurt or disorder
975,flu iike symptoms, an acute febrile highly contagious viral disease  (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
976,overreacted, show an exaggerated response to something
977,achiness, 
978,wonky, turned or twisted toward one side
979,can't cum,  the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
980,ringing in my ears, the sound of a bell ringing a unit of length equal to one twelfth of a foot  the sense organ for hearing and equilibrium
981,restless leg syndrome, worried and uneasy a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a complex of concurrent things
982,feeling horrible like a severe flu just hit me, the experiencing of affective and emotional states provoking horror a similar kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation intensely or extremely bad or unpleasant in degree or quality an acute febrile highly contagious viral disease used especially of what is legally or ethically right or proper or fitting (baseball) a successful stroke in an athletic contest (especially in baseball) a state in New England
983,boobs humungous, an ignorant or foolish person 
984,sore ribs, an open skin infection support resembling the rib of an animal
985,yellow skin, yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons a natural protective body covering and site of the sense of touch
986,crave sweets," have a craving, appetite, or great desire for English phonetician; one of the founders of modern phonetics (1845-1912)"
987,joint pain in spine, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
988,atrophy, a decrease in size of an organ caused by disease or disuse
989,glaucoma, an eye disease that damages the optic nerve and impairs vision (sometimes progressing to blindness)
990,pain in almost every muscle, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (of actions or states) slightly short of or not quite accomplished; all but (used of count nouns) each and all of the members of a group considered singly and without exception one of the contractile organs of the body
991,extended bleeding during menstruation, extend in scope or range or area the flow of blood from a ruptured blood vessel  the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause
992,swollen nasal passages," increase in size, magnitude, number, or intensity a consonant produced through the nose with the mouth closed the act of passing from one state or place to the next"
993,decreased sex drive," decrease in size, extent, or range activities associated with sexual intercourse the act of applying force to propel something"
994,pain in joints, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
995,lousy sleeping at night, very bad the state of being asleep a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium the time after sunset and before sunrise while it is dark outside
996,severe and chronic tendonitis in my elbows, intensely or extremely bad or unpleasant in degree or quality  being long-lasting and recurrent or characterized by long suffering inflammation of a tendon a unit of length equal to one twelfth of a foot  hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
997,hard to walk, not easy; requiring great physical or mental effort to accomplish or comprehend or endure  the act of traveling by foot
998,brain turn to mush, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord a circular segment of a curve  any soft or soggy mass
999,numbness in fingers, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot any of the terminal members of the hand (sometimes excepting the thumb)
1000,musculo-skeletal pain,  a symptom of some physical hurt or disorder
1001,high blood pressure," a lofty level or position or degree the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)"
1002,weird dreams, fate personified; any one of the three Weird Sisters a series of mental images and emotions occurring during sleep
1003,arms tingling in, weapons considered collectively a somatic sensation as from many tiny prickles a unit of length equal to one twelfth of a foot
1004,taste perversion, the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus a curve that reverses the direction of something
1005,frozen shoulder, stop moving or become immobilized the part of the body between the neck and the upper arm
1006,cramp, a painful and involuntary muscular contraction
1007,cramping in hamstrings, secure with a cramp a unit of length equal to one twelfth of a foot one of the tendons at the back of the knee
1008,withdraws, pull back or move away or backward
1009,wake up on and off all night long, the consequences of an event (especially a catastrophic event) raise in operation or operational  kill intentionally and with premeditation quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class the time after sunset and before sunrise while it is dark outside desire strongly or persistently
1010,pain in my lower legs, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the lower of two berths staying power
1011,pain in hands, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
1012,cramping in both calves, secure with a cramp a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two young of domestic cattle
1013,calves muscle pain in, young of domestic cattle one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot
1014,slur, (music) a curved line spanning notes that are to be played legato
1015,buttocks cramps, the fleshy part of the human body that you sit on a painful and involuntary muscular contraction
1016,pain in my abdomen, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the region of the body of a vertebrate between the thorax and the pelvis
1017,vein in my one leg is bulging," a blood vessel that carries blood from the capillaries toward the heart a unit of length equal to one twelfth of a foot  the smallest whole number or a numeral representing this number a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle have the quality of being; (copula, used with an adjective or a predicate noun) swell or protrude outwards"
1018,muscle aches and pains, one of the contractile organs of the body a dull persistent (usually moderately intense) pain  an effortful attempt to attain a goal
1019,unexplained fatigue, not explained temporary loss of strength and energy resulting from hard physical or mental work
1020,jaundins, 
1021,plan on eating, a series of steps to be carried out or goals to be accomplished in operation or operational the act of consuming food
1022,muscle wasting, one of the contractile organs of the body any general reduction in vitality and strength of body and mind resulting from a debilitating chronic disease
1023,cannot walk more than 5 yards,"  the act of traveling by foot English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state  the cardinal number that is the sum of four and one a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride"
1024,extreme pain in upper back area, the furthest or highest degree of something a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the higher of two berths the posterior part of a human (or animal) body from the neck to the end of the spine a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
1025,"stomach is bloated, with excess gas"," an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion have the quality of being; (copula, used with an adjective or a predicate noun)   a quantity much larger than is needed the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container"
1026,light-headedness (hurt to hold my head up or turn my head from side to side and that made driving real difficult),    the act of grasping  the upper part of the human body or the front part of the body in animals; contains the face and brains raise a state in northwestern United States on the Pacific a circular segment of a curve  the upper part of the human body or the front part of the body in animals; contains the face and brains  a place within a region identified relative to a center or reference location  a place within a region identified relative to a center or reference location   engage in hitting a golf ball off of a tee with a driver any rational or irrational number 
1027,fingers twitching, any of the terminal members of the hand (sometimes excepting the thumb) a sudden muscle spasm; especially one caused by a nervous condition
1028,"severe pain in left shoulder,", intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east 
1029,foot pain, the part of the leg of a human being below the ankle joint a symptom of some physical hurt or disorder
1030, tendons in lots of pain,  a cord or band of inelastic tissue connecting a muscle with its bony attachment a unit of length equal to one twelfth of a foot a large number or amount  a symptom of some physical hurt or disorder
1031,torn faced, separate or cause to separate abruptly deal with (something unpleasant) head on
1032,persistent triedness, never-ceasing 
1033,muscle aching, one of the contractile organs of the body a dull persistent (usually moderately intense) pain
1034,sluggish and groggy, moving slowly  stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
1035,knees hurt, hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella any physical damage to the body caused by violence or accident or fracture etc.
1036,sharp unbearable cramping pains in lower gut, a musical notation indicating one half step higher than the note named incapable of being put up with secure with a cramp an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot the lower of two berths the part of the alimentary canal between the stomach and the anus
1037,weak feeling, wanting in physical strength the experiencing of affective and emotional states
1038,back ache, the posterior part of a human (or animal) body from the neck to the end of the spine a dull persistent (usually moderately intense) pain
1039,numbness in my hands, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot  (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
1040,allergic reaction, characterized by or caused by allergy (chemistry) a process in which one or more substances are changed into others
1041,elbows stiff, hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped an ordinary man
1042,tendons is like a razor to rope," a cord or band of inelastic tissue connecting a muscle with its bony attachment have the quality of being; (copula, used with an adjective or a predicate noun) a similar kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation edge tool used in shaving  a strong line"
1043,numb, make numb or insensitive
1044,stiffness in lower back, the physical property of being inflexible and hard to bend a unit of length equal to one twelfth of a foot the lower of two berths the posterior part of a human (or animal) body from the neck to the end of the spine
1045,anxious, eagerly desirous
1046,muscle pain in the legs, one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  staying power
1047,didn't eat a thing,  take in solid food a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation a special situation
1048,rhabdomyolosis, 
1049,stiff quad area, an ordinary man one of four children born at the same time from the same pregnancy a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
1050,general feeling of weakness, a general officer of the highest rank the experiencing of affective and emotional states  a flaw or weak point
1051,intense chest pains, possessing or displaying a distinctive feature to a heightened degree the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates an effortful attempt to attain a goal
1052,weak knees, wanting in physical strength hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
1053,sever stomach cramps, set or keep apart an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a painful and involuntary muscular contraction
1054,eyes microabrasions, opinion or judgment 
